ΕΞΣ/66051/Α4;Καμπύλες σωλήνος 110 μοίρες;εξαρτηματα-σωληνων-22.jpg; Για διάμετρο σωλήνα;22mm;;;;;;;;;;;;;;;
6/37/ΓΚΨ/24;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;2000 γραμ/μέτρο;Θραύση;26.000 κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/24;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;2000 γραμ/μέτρο;Θραύση;27.000 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/26;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;2.250 γραμ/μέτρο;Θραύση;31.300 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/28;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;2.600 γραμ/μέτρο;Θραύση;36.000 κιλά;;;;;;;;;;;;;
6/7/ΓΚΨ/3;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;31 γραμ/μέτρο;Θραύση;469 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/30;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;3.000 γραμ/μέτρο;Θραύση;41.000 κιλά;;;;;;;;;;;;;
6/7/ΓΚΨ/4;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;55 γραμ/μέτρο;Θραύση;830 κιλά;;;;;;;;;;;;;
6/7/ΓΚΨ/5;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;86 γραμ/μέτρο;Θραύση;1300 κιλά;;;;;;;;;;;;;
6/19/ΓΚΨ/6;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;121 γραμ/μέτρο;Θραύση;1730 κιλά;;;;;;;;;;;;;
6/19/ΓΧΨ/6;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;135 γραμ/μέτρο6/19/ΓΧΨ/6;Θραύση;1990 κιλά;;;;;;;;;;;;;
6/19/ΓΚΨ/8;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;210 γραμ/μέτρο;Θραύση;3000 κιλά;;;;;;;;;;;;;
6/19/ΓΧΨ/8;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;244 γραμ/μέτρο;Θραύση;3.100 κιλά;;;;;;;;;;;;;
ΜΠΑΤ/100Α;Μπαταρίες σκαφών Modile  ;μπαταριες-σκαφων-1.jpg;CCA EN ;800 amp;Διαστασεις;30cm (Μ) x 17.2cm (Π) x 22cm (Υ);;;;;;;;;;;;;
ΜΠΑΤ/140Α;Μπαταρίες σκαφών Modile  ;μπαταριες-σκαφων-1.jpg;CCA EN ;980 amp;Διαστασεις;51cm (Μ) x 18.9cm (Π) x 21.5cm (Υ);;;;;;;;;;;;;
ΜΠΑΤ/60Α;Μπαταρίες σκαφών Modile  ;μπαταριες-σκαφων-1.jpg;CCA EN ;520 amp;Διαστασεις;24cm (Μ) x 17.5cm (Π) x 19cm (Υ);;;;;;;;;;;;;
ΜΠΑΤ/74Α;Μπαταρίες σκαφών Modile  ;μπαταριες-σκαφων-1.jpg;CCA EN ;650 amp;Διαστασεις;27.8cm (Μ) x 17.5cm (Π) x 17.5cm (Υ);;;;;;;;;;;;;
ΑΝΕΜ/13066-12;Ανεμιστηράκι με βάση;ανεμιστηρακια-σκαφων-2.jpg;Dc;12 volt;;;;;;;;;;;;;;;
ΑΝΕΜ/13063-12;Ανεμιστηράκι με βεντούζα;ανεμιστηρακια-σκαφων-3.jpg;Dc;12 volt;;;;;;;;;;;;;;;
ΑΝΕΜ/10430-12;Ανεμιστήρας με περιστρεφόμενη βάση;ανεμιστηρακια-σκαφων-1.png;Dc;12 ή 24 volt;;;;;;;;;;;;;;;
ΑΝΤ/ΜΑ/6012/12;Αντλίες Marco με ιμπέλλερ ;αντλιες-σκαφων-100.jpg;Dc;12 volt;Aναρρόφηση;1.5 μέτρο;Παροχή;35 λίτρα/λεπτό;;;;;;;;;;;
ΑΝΤ/ΜΑ/6013/24;Αντλίες Marco με ιμπέλλερ ;αντλιες-σκαφων-100.jpg;Dc;24 volt;Aναρρόφηση;1.5 μέτρο;Παροχή;35 λίτρα/λεπτό;;;;;;;;;;;
ΑΝΤ/600-05;Αντλία δολώματος drill 12v;αντλιες-σκαφων-95.jpg;Dc;12v;Έξοδος;19mm;Μήκος σωλήνας drill;13cm;;;;;;;;;;;
ΑΝΤ/ΔΟΛ/300;Αντλία δολώματος TMC;αντλιες-σκαφων-93.jpg;Dc;12v;;;;;;;;;;;;;;;
ΑΝΤ/10090;Αντλία δολώματος TMC;αντλιες-σκαφων-94.jpg;Dc;3v;;;;;;;;;;;;;;;
ΚΥΚΛ/06618;Αντλία κυκλοφορητής 1 κυβικό/ώρα;αντλιες-σκαφων-92.jpg;Dc;12v;Παροχή;1 κυβικό/ώρα;Έξοδος;19mm;;;;;;;;;;;
ΑΝΤ/292/12;Αντλίες παλινδρομικές;αντλιες-σκαφων-90.jpg;Dc;12v;Παροχή;18 λίτρα/λεπτό;Έξοδος;19mm;;;;;;;;;;;
