postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
9358;ΑΓΚ/ΜΠ/Α4/2;ΑΓΚ/ΜΠ/Α4/2;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;2 κιλα;;;;;;;;;;
9361;ΑΓΚ/ΜΠ/Α4/3.5;ΑΓΚ/ΜΠ/Α4/3.5;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;3.5 κιλα;;;;;;;;;;
9362;ΑΓΚ/ΜΠ/Α4/5;ΑΓΚ/ΜΠ/Α4/5;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;5 κιλα;;;;;;;;;;
9363;ΑΓΚ/ΜΠ/Α4/7.5;ΑΓΚ/ΜΠ/Α4/7.5;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;7.5 κιλα;;;;;;;;;;
9364;ΑΓΚ/ΜΠ/Α4/10;ΑΓΚ/ΜΠ/Α4/10;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;10 κιλα;;;;;;;;;;
9365;ΑΓΚ/ΜΠ/Α4/15;ΑΓΚ/ΜΠ/Α4/15;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;15 κιλα;;;;;;;;;;
9366;ΑΓΚ/ΜΠ/Α4/20;ΑΓΚ/ΜΠ/Α4/20;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;20 κιλα;;;;;;;;;;
9367;ΑΓΚ/ΜΠ/Α4/30;ΑΓΚ/ΜΠ/Α4/30;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;30 κιλα;;;;;;;;;;
9368;ΑΓΚ/ΜΠ/Α4/50;ΑΓΚ/ΜΠ/Α4/50;Άγκυρες  Bruce ανοξείδωτες;αγκυρες-σκαφων-3-1.jpg;Βάρος;50 κιλα;;;;;;;;;;
9369;ΑΓΚ/Τ/Δ/Α4/5;ΑΓΚ/Τ/Δ/Α4/5;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;5 κιλά;;;;;;;;;;
9372;ΑΓΚ/Τ/Δ/Α4/7.5;ΑΓΚ/Τ/Δ/Α4/7.5;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;7.5 κιλά;;;;;;;;;;
9373;ΑΓΚ/Τ/Δ/Α4/10;ΑΓΚ/Τ/Δ/Α4/10;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;10 κιλά;;;;;;;;;;
9374;ΑΓΚ/Τ/Δ/Α4/15;ΑΓΚ/Τ/Δ/Α4/15;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;15 κιλά;;;;;;;;;;
9375;ΑΓΚ/Τ/Δ/Α4/20;ΑΓΚ/Τ/Δ/Α4/20;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;20 κιλά;;;;;;;;;;
9376;ΑΓΚ/Τ/Δ/Α4/30;ΑΓΚ/Τ/Δ/Α4/30;Άγκυρες τύπου Δέλτα ανοξείδωτες;αγκυρες-σκαφων-5-1.jpg;Βάρος;30 κιλά;;;;;;;;;;
9378;ΑΓΚ/ΣΙ/Α4/5;ΑΓΚ/ΣΙ/Α4/5;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;5 κιλά;;;;;;;;;;
9380;ΑΓΚ/ΣΙ/Α4/7;ΑΓΚ/ΣΙ/Α4/7;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;7 κιλά;;;;;;;;;;
9381;ΑΓΚ/ΣΙ/Α4/9;ΑΓΚ/ΣΙ/Α4/9;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;9 κιλά;;;;;;;;;;
9382;ΑΓΚ/ΣΙ/Α4/12;ΑΓΚ/ΣΙ/Α4/12;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;12 κιλά;;;;;;;;;;
9383;ΑΓΚ/ΣΙ/Α4/16;ΑΓΚ/ΣΙ/Α4/16;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;16 κιλά;;;;;;;;;;
9384;ΑΓΚ/ΣΙ/Α4/22;ΑΓΚ/ΣΙ/Α4/22;Άγκυρες τύπου Cqr ανοξείδωτες;αγκυρες-σκαφων-15.jpg;Βάρος;22 κιλά;;;;;;;;;;
9386;ΑΓΚ/ΟΜ/Α4/2.5;ΑΓΚ/ΟΜ/Α4/2.5;Άγκυρες σπαστές ανοξείδωτες;αγκυρες-σκαφων-18.jpg;Βάρος;2.5 κιλά;;;;;;;;;;
9388;ΑΓΚ/ΟΜ/Α4/4;ΑΓΚ/ΟΜ/Α4/4;Άγκυρες σπαστές ανοξείδωτες;αγκυρες-σκαφων-18.jpg;Βάρος;4 κιλά;;;;;;;;;;
9389;ΑΓΚ/ΟΜ/Α4/6;ΑΓΚ/ΟΜ/Α4/6;Άγκυρες σπαστές ανοξείδωτες;αγκυρες-σκαφων-18.jpg;Βάρος;6 κιλά;;;;;;;;;;
9390;ΑΓΚ/ΟΜ/Α4/3.2;ΑΓΚ/ΟΜ/Α4/3.2;Άγκυρες σπαστές ανοξείδωτες;αγκυρες-σκαφων-18.jpg;Βάρος;3.2 κιλά;;;;;;;;;;
