kodikos,DIAMETROS,titlos,Psyxi-pirinas,pleksi,baros,thrausi,epipleon plirofories,poiotita
7/19/Α4/8,8,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,3300 κιλά,-,Aisi 316
7/19/Α4/10,10,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,5500 κιλά,-,Aisi 316
7/19/Α4/12,12,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,7800 κιλά,-,Aisi 316
7/19/Α4/14,14,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,10.200 κιλά,-,Aisi 316
7/19/Α4/13,13,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,9000 κιλά,-,Aisi 316
7/19/Α4/16,16,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,15.000 κιλά,-,Aisi 316
1/19/Α4/4,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-,850 κιλά, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/5,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-,1300 κιλά, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/6,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-,1900 κιλά, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/8,8,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-,3300 κιλά, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/10,10,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-,5500 κιλά, Ιδανικά για ρέλια,Aisi 316
19/7/Α4/4,4,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-,850 κιλά,-,Aisi 316
19/7/Α4/5,5,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-,1300 κιλά,-,Aisi 316
19/7/Α4/6,6,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-,1900 κιλά,-,Aisi 316
19/7/Α4/8,8,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-,3.300 κιλά,-,Aisi 316
6/7/ΓΚΨ/2,2,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/7 συρματίδια κάθε κλώνος,14 γραμ/μέτρο,210 κιλά,-,-
