ΚΛ/80010;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΠΛΑΣΤΙΚΟ;ΔΙΑΜΕΤΡΟΣ;10mm;;;;
Α337/1/2;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
Α337/1/4;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;6mm;ΦΟΡΤ. ΑΣΦ. (kgs);1000;;
Α337/3/4;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;20mm;ΦΟΡΤ. ΑΣΦ. (kgs);12000;;
Α337/3/8;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
Α337/5/16;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
Α337/5/8;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
Α337/7/8;ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337;ΔΙΑΜΕΤΡΟΣ;22mm;ΦΟΡΤ. ΑΣΦ. (kgs);15000;;
Α338/1/2;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338;ΔΙΑΜΕΤΡΟΣ;12mm;ΦΟΡΤ. ΑΣΦ. (kgs);5200;;
Α338/3/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338;ΔΙΑΜΕΤΡΟΣ;10mm;ΦΟΡΤ. ΑΣΦ. (kgs);3200;;
Α338/5/16;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338;ΔΙΑΜΕΤΡΟΣ;8mm;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;
Α338/5/8;ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;
Α341/5/8;ΚΟΥΛΟΥΡΙ ΤΡΙΓΩΝΟ 5/8;;;ΔΙΑΜΕΤΡΟΣ;16mm;ΦΟΡΤ. ΑΣΦ. (kgs);7500
Α344/1;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;25mm;ΦΟΡΤ. ΑΣΦ. (kgs);9000;;
Α344/1/1/2;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;38mm;ΦΟΡΤ. ΑΣΦ. (kgs);25000;;
Α344/1/1/4;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;32mm;ΦΟΡΤ. ΑΣΦ. (kgs);13000;;
Α344/1/1/8;ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344;ΔΙΑΜΕΤΡΟΣ;29mm;ΦΟΡΤ. ΑΣΦ. (kgs);9500;;
